X,Y,OBJECTID,DISTRICT,ROUTE,ROUTE_SFX,COUNTY,PM_PFX,PM,PM_SFX,LOCATION_DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
-117.224998338,32.8996600840001,1,11,5,,SD,R,30.345,L,BEG INDEP ALIGN LT LNS,8600.0,94000.0,80000.0,3850.0,51000.0,46000.0
-117.224669142,32.9008138900001,2,11,5,,SD,R,30.426,L,"SAN DIEGO, SORRENTO VALLEY ROAD",4200.0,55000.0,50000.0,3800.0,46500.0,40000.0
-117.224820715,32.904499168,3,11,5,,SD,R,30.682,L,"SAN DIEGO, NORTH JCT RTE 805",6500.0,82000.0,70000.0,4700.0,63000.0,60000.0
-117.228224305,32.9106494270001,4,11,5,,SD,R,31.155,L,"R31.155 EQUATES R31.188, END INDEP ALIGN",8400.0,104000.0,81000.0,,,
-117.975147163,33.853993561,5,12,5,,ORA,,41.84,L,BEG INDEP ALIGN LT LNS,19200.0,243000.0,223000.0,11600.0,147000.0,133900.0
-117.978917512,33.8561136760001,6,12,5,,ORA,,42.1,L,"FULLERTON, JCT. RTE. 91",11600.0,147000.0,133900.0,11600.0,147000.0,133900.0
-117.985646143,33.85903469,7,12,5,,ORA,,42.515,L,END LEFT ALIGN,17000.0,232000.0,210200.0,18800.0,232000.0,210200.0
-118.490010322,34.315155272,8,7,5,S,LA,C,43.899,L,"LOS ANGELES, BEGIN TRUCK FREEWAY",,,,1150.0,18200.0,17400.0
-118.502207862,34.325645449,9,7,5,S,LA,C,44.924,L,"LOS ANGELES, END INDEPENDENT ALIGNMENT",1150.0,18200.0,17400.0,,,
-118.896616427,34.878048262,10,6,5,,KER,,5.152,L,BEGIN INDEP ALIGN LT LANES,8500.0,105000.0,83000.0,4600.0,50000.0,43000.0
-118.930732825,34.938807744,11,6,5,,KER,,10.153,L,GRAPEVINE,4600.0,50000.0,43000.0,4600.0,50000.0,43000.0
-118.93074068,34.9388797670001,12,6,5,,KER,,10.158,L,"GRAPEVINE UC, LEFT",4600.0,50000.0,43000.0,4600.0,50000.0,43000.0
-118.931586378,34.942566781,13,6,5,,KER,,10.408,L,END INDEP ALIGN LT,4600.0,50000.0,43000.0,9200.0,104000.0,86000.0
-118.952303099,35.0080518940001,14,6,5,,KER,R,15.076,L,BEG INDEP ALIGN LT LNS,12250.0,122000.0,111700.0,4300.0,43900.0,39400.0
-118.952303099,35.0080518940001,15,6,5,,KER,R,15.076,L,BEG RTE 5 CONN RT LNS,2150.0,22000.0,19700.0,2150.0,22000.0,19700.0
-122.313252798,40.7728377990001,16,2,5,,SHA,R,29.285,L,TURNTABLE BAY UNDERCROSS,1200.0,12600.0,10400.0,1200.0,12600.0,10400.0
-122.322525856,40.807131106,17,2,5,,SHA,R,32.04,L,O'BRIEN,1200.0,12600.0,10400.0,1200.0,12800.0,10100.0
-122.571195771,41.858116314,18,2,5,,SIS,R,58.326,L,"JCT. RTE. 96 WEST, KLAMATH RIVER ROAD , COLLIER SAFETY ROADSIDE REST AREA",940.0,8700.0,7400.0,940.0,8700.0,7400.0
